Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
;Agneau façon tajine;Petits pois et semoule;Fromage frais Saint Moret;Banane
;Aiguillette de poulet au jus;Petits pois et coquillettes;Emmental;Clémentine
Pastèque;Aiguillette de poulet au jus;Chou-fleur béchamel;Fol Epi;Flan nappé caramel
Pastèque;Aiguillette de poulet au jus;Gratin dauphinois;Fol Epi;Flan nappé caramel
;Aiguillette de poulet au jus;Coquillettes;Yaourt aromatisé;Purée de pomme fraise
;Aiguillette de poulet au jus;Riz;Gouda;Banane
Mâche et betterave vinaigrette;Aiguillette de poulet sauce barbecue;Haricots beurre;;Riz au lait
;Aiguillette de poulet sauce forestière;Carottes et pommes de terre;Gouda;Prune
Salade verte et dés de Cantal AOP;Aiguillette de poulet sauce moutarde;Pomme paillasson;;Purée de pomme
Pâté de campagne;Aiguillettes de poulet;Tortis;Fromage blanc;Pomme
Pâté de campagne;Aiguillettes de poulet;Petits pois;Camembert;Compote allégée pomme-fraise
Pâté de campagne;Aiguillettes de poulet;Petits pois;Camembert;Compote allégée pomme-fraise
Pâté de campagne;Aiguillettes de poulet;Coquillettes;Camembert;Compote allégée pomme-banane
Salade Iceberg et croûtons;Aiguillettes de poulet;Tortis;Carré;Compote allégée de pomme
Pâté de campagne;Aiguillettes de poulet;Tortis;Carré;Compote allégée pomme-vanille
Pâté de campagne;Aiguillettes de poulet  sauce barbecue;Carottes;Mimolette;Dessert de Pâques
Concombre sauce fromage blanc;Aiguillettes de poulet à la normande;Riz;Camembert;Biscuit sablé Saint-Michel
Coquillettes au curry;Aiguillettes de poulet à l'ancienne;Carottes au jus;Edam;Beignet au chocolat
Accras de morue;Aiguillettes de poulet au curry;Poêlée de légumes;Saint Paulin;Cake au chocolat et noix de coco
Carottes râpées vinaigrette;Aiguillettes de poulet au curry;Haricots beurre;Yaourt nature sucré Vrai;Gaufre nappée chocolat
Salade de tortis 3 couleurs;Aiguillettes de poulet au jus;Petit pois;Camembert;Liégeois vanille-caramel
Salade de tortis 3 couleurs;Aiguillettes de poulet au jus;Petits pois;Tomme noire;Liégeois au chocolat
Salade de tortis 3 couleurs;Aiguillettes de poulet au jus;Petits pois à l'étuvée;Yaourt Malo à la vanille;Pomme
Salade de pépinettes;Aiguillettes de poulet au jus;Haricots beurre;Coulommiers;Beignets aux pommes
Bouillon alphabet;Aiguillettes de poulet au jus;Purée de potiron;Emmental;
Salade verte;Aiguillettes de poulet au jus;Tortis;Yaourt Bio à la vanille;
Pâté Hénaff;Aiguillettes de poulet au jus;"Ratatouille ""maison""";Comté;Yaourt aromatisé
Salade Iceberg et emmental;Aiguillettes de poulet au jus;Coquillettes;;Compote allégée de pommes et biscuit sablé coco
Pâté de campagne;Aiguillettes de poulet au jus;Coquillettes;Yaourt Malo à la vanille;Pomme
Pâté de campagne;Aiguillettes de poulet au jus;Coquillettes;Camembert;Compote allégée de pommes
Pâté de campagne;Aiguillettes de poulet au jus;Petits pois;Camembert;Mousse au chocolat
Melon;Aiguillettes de poulet au jus;Carottes;Liégeois au chocolat;Prunes
Salade Iceberg et croûtons;Aiguillettes de poulet au jus;Coquillettes;Emmental;Liégeois au chocolat
;Aiguillettes de poulet au jus;Petits pois et coquillettes Bio;Fol Epi;Banane Bio Commerce Equitable
;Aiguillettes de poulet au jus;Macaroni semi-complètes Bio;Petit Filou;Pomme Bio
;Aiguillettes de poulet au jus;Macaroni semi-complète;Yaourt nature sucré;Compote pomme-ananas
;Aiguillettes de poulet au jus;Tortis;Yaourt nature sucré;Pomme
Pomelo et sucre;Aiguillettes de poulet au jus;Petits pois et coquillettes;;Yaourt Malo vanille
Salade de fusillis;Aiguillettes de poulet au jus;Petits pois;Saint Nectaire;Pomme
Salade de tortis 3 couleurs;Aiguillettes de poulet au jus;Petits pois;Gouda;Pomme
Salade de coquillettes et maïs;Aiguillettes de poulet au jus;Petits pois;Emmental;Pomme
Salade de perle;Aiguillettes de poulet aux 4 épices;Carottes;Gouda;Liégeois au chocolat
Tomates vinaigrette;Aiguillettes de poulet aux herbes de Provence;Petits pois;Carré;Beignet aux pommes
Velouté de courgettes au fromage;Aiguillettes de poulet aux herbes de Provence;Carottes en bâtonnet;Yaourt aromatisé;"Fruit de saison ""Banane"""
Concombre sauce Bulgare;Aiguillettes de poulet aux herbes de Provence;Semoule;Fol Epi;Compote pommes-cassis
Tomates vinaigrette à la ciboulette;Aiguillettes de poulet aux herbes de Provence;Tortis;Tomme noire;Abricots
Tomates vinaigrette;Aiguillettes de poulet aux herbes de Provence;Jardinière de légumes;Tomme noire;Eclair au chocolat
Potage de légumes verts;Aiguillettes de poulet curry-ananas;Gratin de chou-fleur;Yaourt Malo à la vanille;Pomme
Pastèque;Aiguillettes de poulet façon basquaise;Riz;Gouda;Glace vanille
Tomates vinaigrette au basilic;Aiguillettes de poulet façon Basquaise;Riz;Mélusin;Flan nappé caramel
Avocat au surimi;Aiguillettes de poulet façon pollo saltado;Purée de potiron;Gouda;Glace vanille
Pâté de volaille et cornichons;Aiguillettes de poulet sauce Bahia;Petits pois;Emmental;"Fruit de saison ""Pomme"""
Saucisson à l'ail;Aiguillettes de poulet sauce barbecue;Carottes;Coulommiers;Compote allégée de pommes
Potage de potiron;Aiguillettes de poulet sauce barbecue;Semoule;Fol Epi;Kaki
Bouillon alphabet;Aiguillettes de poulet sauce barbecue;Petits pois;Brie;Pomme
Velouté de légumes;Aiguillettes de poulet sauce barbecue;Blé;Carré;Compote allégée pomme-coing
Bouillon alphabet;Aiguillettes de poulet sauce barbecue;Petits pois;Brie;Pomme
Tomates vinaigrette;Aiguillettes de poulet sauce barbecue;Frites;Yaourt nature sucré;Kiwi
Saucisson à l'ail;Aiguillettes de poulet sauce barbecue;Haricots verts;Fromage fondu aux noix;Dessert de Printemps
Potage de patate douce au kiri;Aiguillettes de poulet sauce barbecue;Pomme smile;;Banane
Accras de morue;Aiguillettes de poulet sauce barbecue;Haricots plats;Mélusin;Liégeois au chocolat
Bouillon alphabet;Aiguillettes de poulet sauce barbecue;Petits pois;Brie;Pomme
Potages de légumes;Aiguillettes de poulet sauce barbecue;Gratin de brocolis;Riz au lait entier;Petit Beurre
Salade de tomates et concombre vinaigrette sauce aigre douce à l'huile de sésame;Aiguillettes de poulet sauce barbecue;Semoule;Cantal;Flan nappé caramel
Concombre au Boursin;Aiguillettes de poulet sauce barbecue;Tortis;;Fraises et crème chantilly
Concombre et dés de Cantal AOP;Aiguillettes de poulet sauce barbecue;Pomme smile;;Purée de pommes
Carottes râpées;Aiguillettes de poulet sauce curry ananas;Riz;;Gâteau coco
Carottes râpées à la passion;Aiguillettes de poulet sauce curry-ananas;Riz;Petit suisse;Cake chocolat coco
Saucisson sec;Aiguillettes de poulet sauce curry-ananas;Pommes noisette;Carré;Purée de pommes
Salade de coquillettes au thon;Aiguillettes de poulet sauce curry-ananas;Carottes;P'tit malin aux fruits;Banane
Salade de coquillettes au thon;Aiguillettes de poulet sauce curry-ananas;Carottes;Emmental;Compote allégée pomme-fraise
Bouillon alphabet;Aiguillettes de poulet sauce curry-ananas;Riz;Vache Qui Rit;Clémentine
Jus de fruits + Beignets de poisson;Aiguillettes de poulet sauce épicée;Riz safrané;;Ile flottante
Velouté de légumes verts;Aiguillettes de poulet sauce forestière;Pommes noisettes;Fromage blanc;Coulis de fruits exotiques
Tomates à la ciboulette;Aiguillettes de poulet sauce miel et poivron;Tortis;Yaourt aux fruits mixés;Abricots
Tomates à la ciboulette;Aiguillettes de poulet sauce miel et poivron;Tortis;Yaourt aux fruits mixés;Abricots
Betteraves vinaigrette;Aiguillettes de poulet sauce miel et poivrons;Chou-fleur béchamel;Gouda;Fruits au sirop
Carottes râpées vinaigrette;Aiguillettes de poulet sauce miel et poivrons;Petits pois;Saint Paulin;"Fruit de saison ""Banane"""
Tomates vinaigrette au basilic;Aiguillettes de poulet sauce miel-poivrons;Purée de légumes;Mélusin;Banane sauce chocolat
Pastèque;Aiguillettes de poulet sauce moutarde;Purée de pommes de terre;Carré;Cerises
Tartine thon-ciboulette;Aiguillettes de poulet sauce moutarde;Purée d'épinards;Fol Epi;Compote allégée de poires
Tartine surimi-paprika;Aiguillettes de poulet sauce moutarde;Semoule;Brie;Raisin
Velouté carottes-curry;Aiguillettes de poulet sauce moutarde;Haricots verts;Fromage blanc;Oréo
Œuf dur mayonnaise;Aiguillettes de poulet sauce moutarde;Petits pois;"Yaourt nature sucré ""Le P'tit Gallo""";Fruit de saison
Carottes râpées vinaigrette;Aiguillettes de poulet sauce moutarde;Gratin de brocolis;Petit filou;Pomme
Salade coleslaw;Aiguillettes de poulet sauce moutarde;Pomme smile;Yaourt Malo à la vanille;Clémentine
Tartine thon-ciboulette;Aiguillettes de poulet sauce moutarde;Petits pois;Fol Epi;Compote allégée pommes-bananes
Saucisson à l'ail;Aiguillettes de poulet sauce moutarde;Petits pois;Gouda;Nectarine
Feuilleté au fromage;Aiguillettes de poulet sauce moutarde;Printanière de légumes;Petit Suisse;Abricots
Salade coleslaw;Aiguillettes de poulet sauce moutarde;Poêlée de légumes;Coulommiers;Eclair au chocolat
Salade coleslaw;Aiguillettes de poulet sauce moutarde;Gratin Dauphinois;Liégeois vanille-caramel;Crêpes Gavottes
Velouté de légumes;Aiguillettes de poulet sauce moutarde;Petits pois;Fromage fondu à l'emmental;Tarte chocolat
Saucisson à l'ail;Aiguillettes de poulet sauce moutarde;Purée de potiron;Gouda;Pêche
Carottes râpées vinaigrette;Aiguillettes de poulet sauce moutarde;Gratin de brocolis;Petit filou;Pomme
Bouillon alphabet;Aiguillettes de poulet sauce moutarde;Haricots plats;Fromage blanc;Coulis de fruits exotiques
Salade de coquillettes au thon;Aiguillettes de poulet sauce moutarde;Carottes;Mélusin;Compote allégée de pommes
Carottes râpées vinaigrette;Aiguillettes de poulet sauce poivrons-pain d'épices;Noisette de polenta;Mélusin;Mousse au chocolat
Carottes râpées vinaigrette;Aiguillettes de poulet sauce rhubarbe;Riz créole;Tomme noire;Mousse au chocolat
Salade de pépinettes;Aiguillettes de poulet sauce suprême;Petits pois;Gouda;Tarte grillagée aux pommes
;Aiguillettes de poulet sauce tikka massala;Carottes et riz;Fromage à tartiner;Pomme
Salade de coquillettes au thon;Aiguillettes de poulet tandoori;Petits pois;Gouda;Abricot
Potage alphabet;Aiguillettes de poulet tandoori;Gratin de chou-fleur;Pavé d'affinois;Madeleine
Saucisson à l'ail;Aiguillettes de poulet tandoori;Poêlée campagnarde;Fromage du Poitou;Tarte au chocolat
Salade de coquillettes au thon;Aiguillettes de poulet tandoori;Petits pois;Emmental;Abricot
Salade verte et maïs, vinaigrette guacamole, chips tortilla;Aiguillettes de poulet tex mex;Pommes de terre potatoes;;Gâteau texan au chocolat et noix de pécan
Tomates vinaigrette;Aiguillettes de poulet tikka massala;Purée de patates douces;Emmental;Flan nappé caramel
Concombre sauce fromage blanc;Aiguillettes de poulet Yassa;Semoule;Camembert;Sablé à la noix de coco
"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour"""
"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour"""
"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour"""
"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour""";"Animation ""Cuisiniers d'un jour"""
Melon;Axoa de veau;Petits pois / riz;;Fromage frais aux fruits
Pépinettes au curry;Beignet de calamar;Ratatouille et pommes de terre;;Fromage blanc aux fruits exotique
Radis sauce chapeau melon;Beignet de calamar;Purée de chou-fleur;;Yaourt brassé des Vergers
Salade coleslaw;Beignet de calamar sauce tomate;Riz;Yaourt nature brassé Les Vergers;
Carottes râpées vinaigrette passion;Beignet de calamars;Ratatouille et blé;;Fromage frais aux fruits
Concombre vinaigrette;Beignet stick mozzarella;Coquillettes sauce tomate;Crème dessert vanille Le P'tit Gallo;
;Beignets de calamar;Ratatouille / semoule;Saint Paulin;Pomme
;Beignets de calamar sauce tomate;Semoule;Coulommiers;Raisin
Salade verte vinaigrette;Beignets de calamar sauce tomate;Purée de patate douce;Yaourt noix de coco Malo;
Carottes râpées vinaigrette;Blaff de colin;Tortis;Coulommiers;Banane sauce chocolat
Saucisson à l'ail;Blanquette de dinde;Petits pois;Rondelé;Compote allégée pommes-bananes
Concombre vinaigrette;Blanquette de poisson;Riz aux champignons;;Fromage frais aux fruits
Carottes râpées au citron;Blanquette de poisson aux petits légumes;Semoule;Yaourt aromatisé;"Fruit de saison ""Pomme"""
Melon;Blanquette de veau;Carottes en bâtonnet;Carré;Beignet au chocolat
Melon;Blanquette de veau;Carottes en bâtonnet;Carré;Beignet au chocolat
Beignets de poisson;Blanquette de veau;Carottes;Mélusin;Glace vanille-fraise
Tomate vinaigrette;Blanquette de veau;Carottes et penne;;Fromage  frais aux fruits
Betteraves vinaigrette;Blanquette de veau;Petit pois et riz;;Lacté vanille
Pastèque;Blanquette de veau;Petits pois et blé;Yaourt nature sucré;
Pastèque;Blanquette de veau;Carottes et penne;Yaourt aromatisé;
Salade Florida;Blanquette de veau;Purée de carottes;;P'tit Malin
Betterave vinaigrette;Blanquette de veau;Chou-fleur et riz;Yaourt aromatisé;
Endives vinaigrette au miel et croûtons;Blanquette de veau;Riz;Yaourt nature brassé;
Saucisson à l'ail;Blanquette de veau;Semoule;Carré;Pomme
Betteraves vinaigrette;Blanquette de veau;Riz;Coulommiers;Pomme
Carottes râpées vinaigrette;Blanquette de veau Label Rouge;Petits pois et riz Bio CE;;Yaourt nature sucré Bio
Boisson poire-miel et nem;Bœuf à la coréenne;Riz;;Ananas-Pitaya
Boisson poire-miel et nem;Bœuf à la coréenne;Riz;;Ananas-Pitaya
Salade mélangée;Bœuf au caramel;Purée de pommes de terre;Yaourt nature sucré;
Betteraves vinaigrette;Bœuf aux carottes;Poêlée de carottes et pommes de terre;Carré;Liégeois au chocolat
Carottes râpées au miel;Bœuf Bourguignon;Gratin de brocolis;;Crêpe au caramel au beurre salé
Carottes râpées et Cantal;Bœuf Bourguignon;Haricots verts;;Mandarinier
Melon;Bœuf Bourguignon;Petits pois;Comté;Mousse au chocolat
Carottes râpées vinaigrette;Bœuf Bourguignon;Coquillettes;"Yaourt nature sucré ""Le P'tit Gallo""";Nectarine
Velouté de légumes verts;Bœuf Bourguignon;Petits pois;Mélusin;Crème dessert chocolat-noisette
Betteraves vinaigrette et tartine de fromage frais;Bœuf bourguignon;Purée de patates douces;;Orange Global Gap
Tartine-thon ciboulette;Bœuf Bourguignon;Carottes;Coulommiers;Mousse au chocolat
Pastèque;Bœuf Bourguignon;Carottes;Riz au lait;Biscuit sablé coco
Taboulé;Bœuf Bourguignon;Purée de carottes;Camembert;Glace vanille
Salade d'endive carmine, pomme granny et dés de mimolette;Bœuf Bourguignon;Semoule Bio;;Yaourt aux fruits mixés
Carottes râpées à l'orange;Bœuf Bourguignon;Purée de légumes;Camembert;Millefeuille
;Bœuf bourguignon;Purée de pommes de terre;Babybel;Orange
Salami;Bœuf Bourguignon;Haricots verts;Bonbel;Banane
Carottes râpées vinaigrette;Bœuf Bourguignon;Tortis;Yaourt nature sucré Le P'tit Gallo;Poire
;Bœuf Bourguignon;Carottes et tortis Bio;Coulommiers;Poire Bio
;Bœuf Bourguignon;Haricots verts et pommes de terre;Coulommiers;Raisin
Tartine thon-ciboulette;Bœuf Bourguignon;Gratin de brocolis/Pommes de terre;Camembert;Mousse au chocolat
;Bœuf bourguignon;Pommes smiles;Camembert;Orange
Salade Iceberg et croûtons;Bœuf Bourguignon;Tortis;Yaourt nature sucré Le P'tit Gallo;Poire
Quinoa façon taboulé carottes et mimolette;Bœuf bourguignon;Haricots verts;;Moelleux chocolat-betterave
;Bœuf bourguignon;Printanière de légumes;Yaourt nature sucré;Nectarine
Guacamole et chips tortilla;Bœuf façon bourguignon;Jardinière de légumes et pommes de terre;Riz au lait;
;Bœuf façon pasticada;Duo de haricots verts et beurre;Buche mi-chèvre;Gâteau façon pain d'épices
Pâté Hénaff;Bœuf façon Pot au feu;Carottes/Pommes de terre;Carré;Compote allégée de pommes
;Boeuf façon tajine;Petits pois et riz;Yaourt aux fruits mixés;Kiwi
;Bœuf façon tajine;Semoule;Coulommiers;Pomme
;Bœuf façon tajine;Pommes paillasson;Petit roulé;Fraises
;Bœuf façon tajine;Semoule;Fromage à tartiner;Raisin
;Bœuf façon tajine;Semoule;Coulommiers;Pêche
Carottes râpées et Cantal AOP;Bœuf façon tajine;Duo haricots verts et beurre;;Crêpe + confiture
Betteraves vinaigrette et tartine de fromage frais;Bœuf façon tajine;Carottes;;Cake aux poires
;Bœuf façon tajine;Légumes de couscous;Yaourt brassé sucré;Banane
;Bœuf façon tajine;Légumes et semoule Bio;Yaourt nature sucré Bio;Pomme Bio
Tartine thon-ciboulette;Bœuf mijoté;Carottes et pommes de terre;Carré frais 1/2 sel;Gâteau moelleux aux pommes
Salade et dés de tomme de brebis;Bœuf sauce façon gardiane;Petit pois à la française;;Gâteau au citron
Carottes râpées;Bœuf sauce pain d'épices;Petits pois;Brie;Eclair chocolaté
Soupe de patate douce;Bœuf sauté sauce bourguignon;Petits pois;Camembert;Ananas
Melon;Bœuf sauté sauce tajine;Carottes/ Semoule;Yaourt Vrai framboise;
Saucisson à l'ail et cornichons;Bœuf Strogonoff;Gratin de chou-fleur;Yaourt Malo à la vanille;Gâteau aux pommes
;Bœuf Strogonoff;Coquillettes et potiron;Yaourt nature sucré;Pomme
;Bœuf Strogonoff;Duo de courgettes, riz et béchamel au parmesan;Fromage à tartiner;Crème chocolat-noisette
;Bolognaise aux légumes;Ratatouille et fusilli;Yaourt nature sucré;Banane
;Bolognaise de bœuf;Tortis et fromage italien;Fromage blanc Strattciatella;Duo de raisins blanc et noir
Melon;Bolognaise de la mer;;Petit Filou;Banane
;Boulette de bœuf sauce barbecue;Panais et pommes de terre;Yaourt à la vanille;Kiwi
;Boulette de bœuf sauce barbecue;Brunoise de légumes et blé;Yaourt aromatisé;Nectarine
Tomates vinaigrette;Boulette de bœuf sauce tomatée;Riz;Fol épi;Pêche plate
Betteraves vinaigrette;Boulettes de bœuf;Chou-fleur béchamel;Carré;Mousse au chocolat
Soupe de potiron;Boulettes de bœuf;Carottes;Mimolette;Salade d'orange sauce chocolat
;Boulettes de bœuf Charolais sauce barbecue;Carottes et flageolets;Fromage frais aux fruits Bio;Pomme Bio
;Boulettes de bœuf haché sauce barbecue;Haricots verts et noisettes de polenta;Fromage frais aux fruits;Prune
Sirop de grenadine, Pastèque;Boulettes de bœuf sauce barbecue;"Pommes ""paillasson""";Vache Picon;Mousse au chocolat
;Boulettes de bœuf sauce basquaise;Haricots verts et pommes de terre Bio;Yaourt aromatisé;Pomme Bio
;Boulettes de bœuf sauce basquaise;Boulgour;Yaourt nature sucré;Ananas
;Boulettes de bœuf sauce bolognaise;Boulgour;Gouda;Banane
Bouillon alphabet;Boulettes de bœuf sauce catalane;Haricots beurre;Tomme noire;Compote allégée de pommes
Pâté de campagne;Boulettes de bœuf sauce catalane;Haricots verts;Brie;Compote allégée pomme-fraise
Carottes râpées;Boulettes de lentilles et sarrasin;Légumes couscous / Semoule;Port Salut;Crêpe
Salade façon piémontaise;Boulettes de mouton sauce catalane;Haricots verts;Camembert;Far Breton aux pommes
Rillettes de hareng et poisson blanc;Boulettes de soja sauce miel cannelle;Carottes et pommes de terre;Yaourt nature sucré;
Salade vinaigrette et dés de Cantal AOP;Boulgour à la mexicaine;;;Cake aux poires, noisettes et sarrasin
Pastèque;Burger aux galettes de pommes de terre;;;Glace
Pastèque;Burger de bœuf;;;Glace
Velouté de légumes verts et fromage frais;Cabillaud (Cie des Pêches de St-Malo) sauce Retour des Indes;Riz;Pont l'Evêque;Poire
Tomates concassées, maïs, chips, tortilla;Cabillaud de la Cie des Pêches, sauce Retour des Indes;Semoule;Chaussée aux moines;Poire
Carottes râpées et dés de mimolette;Cabillaud sauce citron;Riz et lentilles à l'indienne;Yaourt à la vanille;
Salade de tomates et haricots verts;Cabillaud sauce courgettes (Compagnie des Pêches de St Malo);Semoule;Emmental;Prune
Pâté de volaille;Cabillaud sauce persane;Riz créole;Yaourt aromatisé;Poire
Tomates vinaigrette à la ciboulette;Cabillaud sauce provençale;Semoule;Mélusin;Glace vanille
Carottes râpées vinaigrette;Cabillaud sauce Retour des Indes;Semoule;Yaourt nature sucré Vrai;Pomme
Beignet de poisson;Canard sauce poivre;Pommes cuites;Emmental;Liégeois au chocolat
Melon;Carbonade de bœuf;Riz créole;Fromage du Poitou;Flan nappé caramel
Salade de lentilles à l'échalote;Carbonade de bœuf;Carottes;Gouda;Beignet aux pommes
Salade verte vinaigrette et dés d'emmental;Carbonade de bœuf;Carottes;;Galette des Rois
Betteraves;Carbonade de bœuf;Purée de butternut;Coulommiers;Beignet aux pommes
;Carbonade de bœuf;Pomme smile;Fromage frais aux fruits;Ananas
Lentilles vinaigrette;Carbonade de bœuf;Petits pois;Camembert;Mousse au chocolat
;Carbonade de bœuf;Riz;Yaourt brassé Les Vergers;Prune
Salade Coleslaw et Mimolette;Carbonara de saumon et riz;;;Crème dessert au chocolat
